,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
81,param_13_1,"[0.25, 0.25]","[0, 0]",0,0,0
82,param_13_1,"[0.5, 0.25]","[0, 0]",0,1,-1
83,param_13_1,"[0.75, 0.25]","[0, 0]",0,1,-1
84,param_13_1,"[1.0, 0.25]","[0, 0]",0,1,-1
85,param_13_1,"[0.0, 0.5]","[0, 0]",0,-4,-6
86,param_13_1,"[0.25, 0.5]","[0, 0]",0,-2,-1
87,param_13_1,"[0.5, 0.5]","[0, 0]",0,-2,-1
88,param_13_1,"[0.75, 0.5]","[0, 0]",0,-2,-1
89,param_13_1,"[1.0, 0.5]","[0, 0]",0,-2,-1
90,param_13_1,"[0.0, 0.75]","[0, 0]",0,-4,-6
91,param_13_1,"[0.25, 0.75]","[0, 0]",0,-2,-1
92,param_13_1,"[0.5, 0.75]","[0, 0]",0,-2,-1
93,param_13_1,"[0.75, 0.75]","[0, 0]",0,-2,-1
94,param_13_1,"[1.0, 0.75]","[0, 0]",0,-2,-1
95,param_13_1,"[0.0, 1.0]","[0, 0]",0,-4,-6
96,param_13_1,"[0.25, 1.0]","[0, 0]",0,-2,-1
97,param_13_1,"[0.5, 1.0]","[0, 0]",0,-2,-1
98,param_13_1,"[0.75, 1.0]","[0, 0]",0,-2,-1
99,param_13_1,"[1.0, 1.0]","[0, 0]",0,-2,-1
100,param_13_2,"[0.0, 0.0]","[-1, -1]",0,-16,-12
101,param_13_2,"[0.25, 0.0]","[-1, -1]",0,-12,-6
102,param_13_2,"[0.5, 0.0]","[-1, -1]",0,0,0
103,param_13_2,"[0.75, 0.0]","[-1, -1]",0,0,0
104,param_13_2,"[1.0, 0.0]","[-1, -1]",0,0,0
105,param_13_2,"[0.0, 0.25]","[-1, -1]",0,-12,-6
106,param_13_2,"[0.25, 0.25]","[-1, -1]",0,-12,1
107,param_13_2,"[0.5, 0.25]","[-1, -1]",-0.5,0,0
108,param_13_2,"[0.75, 0.25]","[-1, -1]",-0.5,0,0
109,param_13_2,"[1.0, 0.25]","[-1, -1]",-0.5,0,0
110,param_13_2,"[0.0, 0.5]","[-1, -1]",0,-5,5
111,param_13_2,"[0.25, 0.5]","[-1, -1]",0,0,10
112,param_13_2,"[0.5, 0.5]","[-1, -1]",0,0,11
113,param_13_2,"[0.75, 0.5]","[-1, -1]",0,0,11
114,param_13_2,"[1.0, 0.5]","[-1, -1]",0,0,11
115,param_13_2,"[0.0, 0.75]","[-1, -1]",0,-5,5
116,param_13_2,"[0.25, 0.75]","[-1, -1]",0,0,10
117,param_13_2,"[0.5, 0.75]","[-1, -1]",0,0,11
118,param_13_2,"[0.75, 0.75]","[-1, -1]",0,0,11
119,param_13_2,"[1.0, 0.75]","[-1, -1]",0,0,11
120,param_13_2,"[0.0, 1.0]","[-1, -1]",0,-5,5
121,param_13_2,"[0.25, 1.0]","[-1, -1]",0,0,10
122,param_13_2,"[0.5, 1.0]","[-1, -1]",0,0,11
123,param_13_2,"[0.75, 1.0]","[-1, -1]",0,0,11
124,param_13_2,"[1.0, 1.0]","[-1, -1]",0,0,11
125,param_13_2,"[0.0, 0.0]","[-1, 0]",0,-8,-12
126,param_13_2,"[0.25, 0.0]","[-1, 0]",0,-4,-6
127,param_13_2,"[0.5, 0.0]","[-1, 0]",0,0,0
128,param_13_2,"[0.75, 0.0]","[-1, 0]",0,0,0
129,param_13_2,"[1.0, 0.0]","[-1, 0]",0,0,0
130,param_13_2,"[0.0, 0.25]","[-1, 0]",0,-8,-6
131,param_13_2,"[0.25, 0.25]","[-1, 0]",0,-4,1
132,param_13_2,"[0.5, 0.25]","[-1, 0]",-0.5,0,0
133,param_13_2,"[0.75, 0.25]","[-1, 0]",-0.5,0,0
134,param_13_2,"[1.0, 0.25]","[-1, 0]",-0.5,0,0
135,param_13_2,"[0.0, 0.5]","[-1, 0]",0,-8,-6
136,param_13_2,"[0.25, 0.5]","[-1, 0]",0,0,-1
137,param_13_2,"[0.5, 0.5]","[-1, 0]",0,-4,-1
138,param_13_2,"[0.75, 0.5]","[-1, 0]",0,-4,-1
139,param_13_2,"[1.0, 0.5]","[-1, 0]",0,-4,-1
140,param_13_2,"[0.0, 0.75]","[-1, 0]",0,-8,-6
141,param_13_2,"[0.25, 0.75]","[-1, 0]",0,0,-1
142,param_13_2,"[0.5, 0.75]","[-1, 0]",0,-4,-1
143,param_13_2,"[0.75, 0.75]","[-1, 0]",0,-4,-1
144,param_13_2,"[1.0, 0.75]","[-1, 0]",0,-4,-1
145,param_13_2,"[0.0, 1.0]","[-1, 0]",0,-8,-6
146,param_13_2,"[0.25, 1.0]","[-1, 0]",0,0,-1
147,param_13_2,"[0.5, 1.0]","[-1, 0]",0,-4,-1
148,param_13_2,"[0.75, 1.0]","[-1, 0]",0,-4,-1
149,param_13_2,"[1.0, 1.0]","[-1, 0]",0,-4,-1
150,param_13_2,"[0.0, 0.0]","[0, -1]",0,0,-12
151,param_13_2,"[0.25, 0.0]","[0, -1]",0,0,-6
152,param_13_2,"[0.5, 0.0]","[0, -1]",0,0,-6
153,param_13_2,"[0.75, 0.0]","[0, -1]",0,0,-6
154,param_13_2,"[1.0, 0.0]","[0, -1]",0,0,-6
155,param_13_2,"[0.0, 0.25]","[0, -1]",0,4,-6
156,param_13_2,"[0.25, 0.25]","[0, -1]",0,0,-1
157,param_13_2,"[0.5, 0.25]","[0, -1]",0,0,0
158,param_13_2,"[0.75, 0.25]","[0, -1]",0,0,0
159,param_13_2,"[1.0, 0.25]","[0, -1]",0,0,0
160,param_13_2,"[0.0, 0.5]","[0, -1]",0,0,5
161,param_13_2,"[0.25, 0.5]","[0, -1]",0,0,4
162,param_13_2,"[0.5, 0.5]","[0, -1]",0,0,5
163,param_13_2,"[0.75, 0.5]","[0, -1]",0,0,5
164,param_13_2,"[1.0, 0.5]","[0, -1]",0,0,5
165,param_13_2,"[0.0, 0.75]","[0, -1]",0,0,5
166,param_13_2,"[0.25, 0.75]","[0, -1]",0,0,4
167,param_13_2,"[0.5, 0.75]","[0, -1]",0,0,5
168,param_13_2,"[0.75, 0.75]","[0, -1]",0,0,5
169,param_13_2,"[1.0, 0.75]","[0, -1]",0,0,5
170,param_13_2,"[0.0, 1.0]","[0, -1]",0,0,5
171,param_13_2,"[0.25, 1.0]","[0, -1]",0,0,4
172,param_13_2,"[0.5, 1.0]","[0, -1]",0,0,5
173,param_13_2,"[0.75, 1.0]","[0, -1]",0,0,5
174,param_13_2,"[1.0, 1.0]","[0, -1]",0,0,5
175,param_13_2,"[0.0, 0.0]","[0, 0]",0,0,-12
176,param_13_2,"[0.25, 0.0]","[0, 0]",0,0,-6
177,param_13_2,"[0.5, 0.0]","[0, 0]",0,0,-6
178,param_13_2,"[0.75, 0.0]","[0, 0]",0,0,-6
179,param_13_2,"[1.0, 0.0]","[0, 0]",0,0,-6
180,param_13_2,"[0.0, 0.25]","[0, 0]",0,0,-6
181,param_13_2,"[0.25, 0.25]","[0, 0]",0,0,-1
182,param_13_2,"[0.5, 0.25]","[0, 0]",0,0,0
183,param_13_2,"[0.75, 0.25]","[0, 0]",0,0,0
184,param_13_2,"[1.0, 0.25]","[0, 0]",0,0,0
185,param_13_2,"[0.0, 0.5]","[0, 0]",0,-4,-6
186,param_13_2,"[0.25, 0.5]","[0, 0]",0,-2,-1
187,param_13_2,"[0.5, 0.5]","[0, 0]",0,-1,0
188,param_13_2,"[0.75, 0.5]","[0, 0]",0,-1,0
189,param_13_2,"[1.0, 0.5]","[0, 0]",0,-1,0
190,param_13_2,"[0.0, 0.75]","[0, 0]",0,-4,-6
191,param_13_2,"[0.25, 0.75]","[0, 0]",0,-2,-1
192,param_13_2,"[0.5, 0.75]","[0, 0]",0,-1,0
193,param_13_2,"[0.75, 0.75]","[0, 0]",0,-1,0
194,param_13_2,"[1.0, 0.75]","[0, 0]",0,-1,0
195,param_13_2,"[0.0, 1.0]","[0, 0]",0,-4,-6
196,param_13_2,"[0.25, 1.0]","[0, 0]",0,-2,-1
197,param_13_2,"[0.5, 1.0]","[0, 0]",0,-1,0
198,param_13_2,"[0.75, 1.0]","[0, 0]",0,-1,0
199,param_13_2,"[1.0, 1.0]","[0, 0]",0,-1,0
200,param_13_3,"[0.0, 0.0]","[-1, -1]",0,0,-12
201,param_13_3,"[0.25, 0.0]","[-1, -1]",0,4,-7
202,param_13_3,"[0.5, 0.0]","[-1, -1]",0,0,-7
203,param_13_3,"[0.75, 0.0]","[-1, -1]",0,0,-7
204,param_13_3,"[1.0, 0.0]","[-1, -1]",0,0,-7
205,param_13_3,"[0.0, 0.25]","[-1, -1]",0,4,-6
206,param_13_3,"[0.25, 0.25]","[-1, -1]",0,4,0
207,param_13_3,"[0.5, 0.25]","[-1, -1]",-0.5,0,0
208,param_13_3,"[0.75, 0.25]","[-1, -1]",-0.5,0,0
209,param_13_3,"[1.0, 0.25]","[-1, -1]",-0.5,0,0
210,param_13_3,"[0.0, 0.5]","[-1, -1]",0,0,5
211,param_13_3,"[0.25, 0.5]","[-1, -1]",0,3,5
212,param_13_3,"[0.5, 0.5]","[-1, -1]",0,0,12
213,param_13_3,"[0.75, 0.5]","[-1, -1]",0,0,12
214,param_13_3,"[1.0, 0.5]","[-1, -1]",0,0,12
215,param_13_3,"[0.0, 0.75]","[-1, -1]",0,0,5
216,param_13_3,"[0.25, 0.75]","[-1, -1]",0,3,5
217,param_13_3,"[0.5, 0.75]","[-1, -1]",0,0,12
218,param_13_3,"[0.75, 0.75]","[-1, -1]",0,0,12
219,param_13_3,"[1.0, 0.75]","[-1, -1]",0,0,12
220,param_13_3,"[0.0, 1.0]","[-1, -1]",0,0,5
221,param_13_3,"[0.25, 1.0]","[-1, -1]",0,3,5
222,param_13_3,"[0.5, 1.0]","[-1, -1]",0,0,12
223,param_13_3,"[0.75, 1.0]","[-1, -1]",0,0,12
224,param_13_3,"[1.0, 1.0]","[-1, -1]",0,0,12
225,param_13_3,"[0.0, 0.0]","[-1, 0]",0,0,-12
226,param_13_3,"[0.25, 0.0]","[-1, 0]",0,4,-7
227,param_13_3,"[0.5, 0.0]","[-1, 0]",0,0,-7
228,param_13_3,"[0.75, 0.0]","[-1, 0]",0,0,-7
229,param_13_3,"[1.0, 0.0]","[-1, 0]",0,0,-7
230,param_13_3,"[0.0, 0.25]","[-1, 0]",0,0,-6
231,param_13_3,"[0.25, 0.25]","[-1, 0]",0,4,0
232,param_13_3,"[0.5, 0.25]","[-1, 0]",-0.5,0,0
233,param_13_3,"[0.75, 0.25]","[-1, 0]",-0.5,0,0
234,param_13_3,"[1.0, 0.25]","[-1, 0]",-0.5,0,0
235,param_13_3,"[0.0, 0.5]","[-1, 0]",0,-4,-6
236,param_13_3,"[0.25, 0.5]","[-1, 0]",0,0,-1
237,param_13_3,"[0.5, 0.5]","[-1, 0]",0,-4,-1
238,param_13_3,"[0.75, 0.5]","[-1, 0]",0,-4,-1
239,param_13_3,"[1.0, 0.5]","[-1, 0]",0,-4,-1
240,param_13_3,"[0.0, 0.75]","[-1, 0]",0,-4,-6
241,param_13_3,"[0.25, 0.75]","[-1, 0]",0,0,-1
242,param_13_3,"[0.5, 0.75]","[-1, 0]",0,-4,-1
243,param_13_3,"[0.75, 0.75]","[-1, 0]",0,-4,-1
244,param_13_3,"[1.0, 0.75]","[-1, 0]",0,-4,-1
245,param_13_3,"[0.0, 1.0]","[-1, 0]",0,-4,-6
246,param_13_3,"[0.25, 1.0]","[-1, 0]",0,0,-1
247,param_13_3,"[0.5, 1.0]","[-1, 0]",0,-4,-1
248,param_13_3,"[0.75, 1.0]","[-1, 0]",0,-4,-1
249,param_13_3,"[1.0, 1.0]","[-1, 0]",0,-4,-1
250,param_13_3,"[0.0, 0.0]","[0, -1]",0,0,-12
251,param_13_3,"[0.25, 0.0]","[0, -1]",0,0,-7
252,param_13_3,"[0.5, 0.0]","[0, -1]",0,-2,-7
253,param_13_3,"[0.75, 0.0]","[0, -1]",0,-2,-7
254,param_13_3,"[1.0, 0.0]","[0, -1]",0,-2,-7
255,param_13_3,"[0.0, 0.25]","[0, -1]",0,4,-6
256,param_13_3,"[0.25, 0.25]","[0, -1]",0,4,-1
257,param_13_3,"[0.5, 0.25]","[0, -1]",0,0,0
258,param_13_3,"[0.75, 0.25]","[0, -1]",0,0,0
259,param_13_3,"[1.0, 0.25]","[0, -1]",0,0,0
260,param_13_3,"[0.0, 0.5]","[0, -1]",0,0,5
261,param_13_3,"[0.25, 0.5]","[0, -1]",0,0,4
262,param_13_3,"[0.5, 0.5]","[0, -1]",0,9,12
263,param_13_3,"[0.75, 0.5]","[0, -1]",0,9,12
264,param_13_3,"[1.0, 0.5]","[0, -1]",0,9,12
265,param_13_3,"[0.0, 0.75]","[0, -1]",0,0,5
266,param_13_3,"[0.25, 0.75]","[0, -1]",0,0,4
267,param_13_3,"[0.5, 0.75]","[0, -1]",0,9,12
268,param_13_3,"[0.75, 0.75]","[0, -1]",0,9,12
269,param_13_3,"[1.0, 0.75]","[0, -1]",0,9,12
270,param_13_3,"[0.0, 1.0]","[0, -1]",0,0,5
271,param_13_3,"[0.25, 1.0]","[0, -1]",0,0,4
272,param_13_3,"[0.5, 1.0]","[0, -1]",0,9,12
273,param_13_3,"[0.75, 1.0]","[0, -1]",0,9,12
274,param_13_3,"[1.0, 1.0]","[0, -1]",0,9,12
275,param_13_3,"[0.0, 0.0]","[0, 0]",0,0,-12
276,param_13_3,"[0.25, 0.0]","[0, 0]",0,0,-7
277,param_13_3,"[0.5, 0.0]","[0, 0]",0,-2,-7
278,param_13_3,"[0.75, 0.0]","[0, 0]",0,-2,-7
279,param_13_3,"[1.0, 0.0]","[0, 0]",0,-2,-7
280,param_13_3,"[0.0, 0.25]","[0, 0]",0,0,-6
281,param_13_3,"[0.25, 0.25]","[0, 0]",0,0,-1
282,param_13_3,"[0.5, 0.25]","[0, 0]",0,0,0
283,param_13_3,"[0.75, 0.25]","[0, 0]",0,0,0
284,param_13_3,"[1.0, 0.25]","[0, 0]",0,0,0
285,param_13_3,"[0.0, 0.5]","[0, 0]",0,-4,-6
286,param_13_3,"[0.25, 0.5]","[0, 0]",0,-2,-1
287,param_13_3,"[0.5, 0.5]","[0, 0]",0,2,-1
288,param_13_3,"[0.75, 0.5]","[0, 0]",0,2,-1
289,param_13_3,"[1.0, 0.5]","[0, 0]",0,2,-1
290,param_13_3,"[0.0, 0.75]","[0, 0]",0,-4,-6
291,param_13_3,"[0.25, 0.75]","[0, 0]",0,-2,-1
292,param_13_3,"[0.5, 0.75]","[0, 0]",0,2,-1
293,param_13_3,"[0.75, 0.75]","[0, 0]",0,2,-1
294,param_13_3,"[1.0, 0.75]","[0, 0]",0,2,-1
295,param_13_3,"[0.0, 1.0]","[0, 0]",0,-4,-6
296,param_13_3,"[0.25, 1.0]","[0, 0]",0,-2,-1
297,param_13_3,"[0.5, 1.0]","[0, 0]",0,2,-1
298,param_13_3,"[0.75, 1.0]","[0, 0]",0,2,-1
299,param_13_3,"[1.0, 1.0]","[0, 0]",0,2,-1
300,param_13_4,"[0.0, 0.0]","[-1, -1]",0,0,-12
301,param_13_4,"[0.25, 0.0]","[-1, -1]",0,0,-12
302,param_13_4,"[0.5, 0.0]","[-1, -1]",0,0,-6
303,param_13_4,"[0.75, 0.0]","[-1, -1]",0,0,-6
304,param_13_4,"[1.0, 0.0]","[-1, -1]",0,0,-6
305,param_13_4,"[0.0, 0.25]","[-1, -1]",0,4,-6
306,param_13_4,"[0.25, 0.25]","[-1, -1]",0,4,-6
307,param_13_4,"[0.5, 0.25]","[-1, -1]",0,0,0
308,param_13_4,"[0.75, 0.25]","[-1, -1]",0,0,0
309,param_13_4,"[1.0, 0.25]","[-1, -1]",0,0,0
310,param_13_4,"[0.0, 0.5]","[-1, -1]",0,0,5
311,param_13_4,"[0.25, 0.5]","[-1, -1]",0,0,5
312,param_13_4,"[0.5, 0.5]","[-1, -1]",0,0,11
313,param_13_4,"[0.75, 0.5]","[-1, -1]",0,0,11
314,param_13_4,"[1.0, 0.5]","[-1, -1]",0,0,11
315,param_13_4,"[0.0, 0.75]","[-1, -1]",0,0,5
316,param_13_4,"[0.25, 0.75]","[-1, -1]",0,0,5
317,param_13_4,"[0.5, 0.75]","[-1, -1]",0,0,11
318,param_13_4,"[0.75, 0.75]","[-1, -1]",0,0,11
319,param_13_4,"[1.0, 0.75]","[-1, -1]",0,0,11
320,param_13_4,"[0.0, 1.0]","[-1, -1]",0,0,5
321,param_13_4,"[0.25, 1.0]","[-1, -1]",0,0,5
322,param_13_4,"[0.5, 1.0]","[-1, -1]",0,0,11
323,param_13_4,"[0.75, 1.0]","[-1, -1]",0,0,11
324,param_13_4,"[1.0, 1.0]","[-1, -1]",0,0,11
325,param_13_4,"[0.0, 0.0]","[-1, 0]",0,0,-12
326,param_13_4,"[0.25, 0.0]","[-1, 0]",0,0,-12
327,param_13_4,"[0.5, 0.0]","[-1, 0]",0,0,-6
328,param_13_4,"[0.75, 0.0]","[-1, 0]",0,0,-6
329,param_13_4,"[1.0, 0.0]","[-1, 0]",0,0,-6
330,param_13_4,"[0.0, 0.25]","[-1, 0]",0,0,-6
331,param_13_4,"[0.25, 0.25]","[-1, 0]",0,0,-6
332,param_13_4,"[0.5, 0.25]","[-1, 0]",0,0,0
333,param_13_4,"[0.75, 0.25]","[-1, 0]",0,0,0
334,param_13_4,"[1.0, 0.25]","[-1, 0]",0,0,0
335,param_13_4,"[0.0, 0.5]","[-1, 0]",0,-4,-6
336,param_13_4,"[0.25, 0.5]","[-1, 0]",0,-4,-6
337,param_13_4,"[0.5, 0.5]","[-1, 0]",0,-2,-6
338,param_13_4,"[0.75, 0.5]","[-1, 0]",0,-2,-6
339,param_13_4,"[1.0, 0.5]","[-1, 0]",0,-2,-6
340,param_13_4,"[0.0, 0.75]","[-1, 0]",0,-4,-6
341,param_13_4,"[0.25, 0.75]","[-1, 0]",0,-4,-6
342,param_13_4,"[0.5, 0.75]","[-1, 0]",0,-2,-6
343,param_13_4,"[0.75, 0.75]","[-1, 0]",0,-2,-6
344,param_13_4,"[1.0, 0.75]","[-1, 0]",0,-2,-6
345,param_13_4,"[0.0, 1.0]","[-1, 0]",0,-4,-6
346,param_13_4,"[0.25, 1.0]","[-1, 0]",0,-4,-6
347,param_13_4,"[0.5, 1.0]","[-1, 0]",0,-2,-6
348,param_13_4,"[0.75, 1.0]","[-1, 0]",0,-2,-6
349,param_13_4,"[1.0, 1.0]","[-1, 0]",0,-2,-6
350,param_13_4,"[0.0, 0.0]","[0, -1]",0,0,-12
351,param_13_4,"[0.25, 0.0]","[0, -1]",0,0,-12
352,param_13_4,"[0.5, 0.0]","[0, -1]",0,-6,-6
353,param_13_4,"[0.75, 0.0]","[0, -1]",0,-6,-6
354,param_13_4,"[1.0, 0.0]","[0, -1]",0,-6,-6
355,param_13_4,"[0.0, 0.25]","[0, -1]",0,4,-6
356,param_13_4,"[0.25, 0.25]","[0, -1]",0,4,-6
357,param_13_4,"[0.5, 0.25]","[0, -1]",0,-5,0
358,param_13_4,"[0.75, 0.25]","[0, -1]",0,-5,0
359,param_13_4,"[1.0, 0.25]","[0, -1]",0,-5,0
360,param_13_4,"[0.0, 0.5]","[0, -1]",0,0,5
361,param_13_4,"[0.25, 0.5]","[0, -1]",0,0,5
362,param_13_4,"[0.5, 0.5]","[0, -1]",0,3,11
363,param_13_4,"[0.75, 0.5]","[0, -1]",0,3,11
364,param_13_4,"[1.0, 0.5]","[0, -1]",0,3,11
365,param_13_4,"[0.0, 0.75]","[0, -1]",0,0,5
366,param_13_4,"[0.25, 0.75]","[0, -1]",0,0,5
367,param_13_4,"[0.5, 0.75]","[0, -1]",0,3,11
368,param_13_4,"[0.75, 0.75]","[0, -1]",0,3,11
369,param_13_4,"[1.0, 0.75]","[0, -1]",0,3,11
370,param_13_4,"[0.0, 1.0]","[0, -1]",0,0,5
371,param_13_4,"[0.25, 1.0]","[0, -1]",0,0,5
372,param_13_4,"[0.5, 1.0]","[0, -1]",0,3,11
373,param_13_4,"[0.75, 1.0]","[0, -1]",0,3,11
374,param_13_4,"[1.0, 1.0]","[0, -1]",0,3,11
375,param_13_4,"[0.0, 0.0]","[0, 0]",0,0,-12
376,param_13_4,"[0.25, 0.0]","[0, 0]",0,0,-12
377,param_13_4,"[0.5, 0.0]","[0, 0]",0,0,-6
378,param_13_4,"[0.75, 0.0]","[0, 0]",0,0,-6
379,param_13_4,"[1.0, 0.0]","[0, 0]",0,0,-6
380,param_13_4,"[0.0, 0.25]","[0, 0]",0,0,-6
381,param_13_4,"[0.25, 0.25]","[0, 0]",0,0,-6
382,param_13_4,"[0.5, 0.25]","[0, 0]",0,1,0
383,param_13_4,"[0.75, 0.25]","[0, 0]",0,1,0
384,param_13_4,"[1.0, 0.25]","[0, 0]",0,1,0
385,param_13_4,"[0.0, 0.5]","[0, 0]",0,-4,-6
386,param_13_4,"[0.25, 0.5]","[0, 0]",0,-4,-6
387,param_13_4,"[0.5, 0.5]","[0, 0]",0,3,-6
388,param_13_4,"[0.75, 0.5]","[0, 0]",0,3,-6
389,param_13_4,"[1.0, 0.5]","[0, 0]",0,3,-6
390,param_13_4,"[0.0, 0.75]","[0, 0]",0,-4,-6
391,param_13_4,"[0.25, 0.75]","[0, 0]",0,-4,-6
392,param_13_4,"[0.5, 0.75]","[0, 0]",0,3,-6
393,param_13_4,"[0.75, 0.75]","[0, 0]",0,3,-6
394,param_13_4,"[1.0, 0.75]","[0, 0]",0,3,-6
395,param_13_4,"[0.0, 1.0]","[0, 0]",0,-4,-6
396,param_13_4,"[0.25, 1.0]","[0, 0]",0,-4,-6
397,param_13_4,"[0.5, 1.0]","[0, 0]",0,3,-6
398,param_13_4,"[0.75, 1.0]","[0, 0]",0,3,-6
399,param_13_4,"[1.0, 1.0]","[0, 0]",0,3,-6
400,param_13_5,"[0.0, 0.0]","[-1, -1]",0,-18,-12
401,param_13_5,"[0.25, 0.0]","[-1, -1]",0,-14,-6
402,param_13_5,"[0.5, 0.0]","[-1, -1]",0,-7,0
403,param_13_5,"[0.75, 0.0]","[-1, -1]",0,-7,0
404,param_13_5,"[1.0, 0.0]","[-1, -1]",0,-7,0
